S.No,Date,Year,Month,Day,Time,EBH,WBH,TH,EBM,WBM,TM,MaxTemp,MinTemp,MeanTemp,TotalRain,TotalSnow,TotalPrecip,SnowOnGrnd,DirOfMaxGust,SpdOfMaxGust
0,10-02-2018,2018,2,10,0,2,3,5,4,4,8,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
1,10-02-2018,2018,2,10,1,1,2,3,2,1,3,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
2,10-02-2018,2018,2,10,2,1,1,2,2,3,5,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
3,10-02-2018,2018,2,10,3,0,0,0,0,4,4,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
4,10-02-2018,2018,2,10,4,1,0,1,0,0,0,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
5,10-02-2018,2018,2,10,5,1,0,1,0,0,0,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
6,10-02-2018,2018,2,10,6,2,2,4,3,0,3,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
7,10-02-2018,2018,2,10,7,1,0,1,2,0,2,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
8,10-02-2018,2018,2,10,8,2,0,2,2,2,4,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
9,10-02-2018,2018,2,10,9,5,1,6,8,4,12,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
10,10-02-2018,2018,2,10,10,8,6,14,9,5,14,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
11,10-02-2018,2018,2,10,11,18,5,23,14,5,19,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
12,10-02-2018,2018,2,10,12,11,6,17,7,8,15,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
13,10-02-2018,2018,2,10,13,9,14,23,17,12,29,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
14,10-02-2018,2018,2,10,14,7,6,13,10,7,17,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
15,10-02-2018,2018,2,10,15,8,10,18,7,7,14,-4.4,-6.7,-5.6,0,6.4,5.6,14,0,29
