Date,EBH,WBH,TH,EBM,WBM,TM
2018-02-10,129,119,248,113,111,224
2018-02-11,152,146,298,143,122,265
2018-02-17,331,339,670,386,374,760
2018-02-18,386,359,745,414,411,825
2018-02-24,588,525,1113,670,559,1229
2018-02-25,598,550,1148,682,631,1313
2018-03-03,596,579,1175,643,659,1302
2018-03-04,551,499,1050,579,553,1132
2018-03-10,659,617,1276,731,698,1429
2018-03-11,629,553,1182,717,624,1341
2018-03-17,653,649,1302,760,667,1427
2018-03-18,651,631,1282,762,664,1426
2018-03-24,738,667,1405,838,731,1569
2018-03-25,652,677,1329,772,710,1482
2018-03-31,579,560,1139,735,642,1377
2018-04-01,521,522,1043,652,537,1189
2018-04-07,648,606,1254,754,729,1483
2018-04-08,659,635,1294,716,628,1344
2018-04-14,148,102,250,130,137,267
2018-04-15,1,1,2,1,4,5
2018-04-21,1079,973,2052,1273,1139,2412
2018-04-22,1119,1028,2147,1289,1254,2543
2018-04-28,686,635,1321,750,720,1470
2018-04-29,958,926,1884,1162,1131,2293
2018-05-05,1581,1405,2986,1908,1699,3607
2018-05-06,1192,1123,2315,1312,1310,2622
2018-05-12,1394,1312,2706,1647,1445,3092
2018-05-13,1389,1303,2692,1681,1519,3200
2018-05-19,698,642,1340,863,736,1599
2018-05-20,1265,1145,2410,1531,1431,2962
2018-05-26,1744,1527,3271,2199,1998,4197
2018-05-27,1714,1556,3270,2037,1880,3917
2018-06-02,1649,1598,3247,2060,1914,3974
2018-06-03,1130,1060,2190,1473,1242,2715
2018-06-09,1652,1724,3376,2060,1946,4006
2018-06-10,1627,1552,3179,1951,1835,3786
2018-06-16,1740,1660,3400,2047,2000,4047
2018-06-17,1489,1324,2813,1808,1658,3466
2018-06-23,980,962,1942,1124,1037,2161
2018-06-24,851,853,1704,964,921,1885
2018-06-30,1358,1260,2618,1622,1450,3072
2018-07-01,1017,980,1997,1299,1183,2482
2018-07-07,1683,1598,3281,2007,1865,3872
2018-07-08,1619,1523,3142,1937,1728,3665
2018-07-14,1496,1414,2910,1764,1529,3293
2018-07-15,1466,1407,2873,1802,1651,3453
2018-07-21,1581,1567,3148,1879,1805,3684
2018-07-22,823,790,1613,1014,927,1941
2018-07-28,1509,1418,2927,1778,1687,3465
2018-07-29,1509,1483,2992,1812,1766,3578
2018-08-04,1357,1349,2706,1588,1491,3079
2018-08-05,1246,1191,2437,1567,1459,3026
2018-08-11,1647,1571,3218,1950,1714,3664
2018-08-12,1550,1476,3026,1830,1636,3466
2018-08-18,1527,1394,2921,1786,1575,3361
2018-08-19,1140,1592,2732,1470,1599,3069
2018-08-25,1127,1056,2183,1337,1293,2630
2018-08-26,1431,1346,2777,1667,1517,3184
2018-09-01,1380,1306,2686,1629,1461,3090
2018-09-02,1238,1194,2432,1511,1415,2926
2018-09-08,1647,1524,3171,1766,1725,3491
2018-09-09,1250,1169,2419,1409,1313,2722
2018-09-15,1731,1645,3376,1943,1748,3691
2018-09-16,1080,1501,2581,1258,1575,2833
2018-09-22,1496,1435,2931,1838,1676,3514
2018-09-23,1383,1362,2745,1582,1534,3116
2018-09-29,1558,1402,2960,1787,1519,3306
2018-09-30,1009,1109,2118,1194,1164,2358
2018-10-06,784,724,1508,981,846,1827
2018-10-07,700,635,1335,763,756,1519
2018-10-13,1198,1035,2233,1191,1161,2352
2018-10-14,1204,1115,2319,1340,1262,2602
2018-10-20,1144,1094,2238,1318,1231,2549
2018-10-21,868,810,1678,1032,957,1989
2018-10-27,582,574,1156,702,691,1393
2018-10-28,731,671,1402,780,688,1468
2018-11-03,747,774,1521,932,861,1793
2018-11-04,881,833,1714,1036,939,1975
2018-11-10,632,559,1191,713,649,1362
2018-11-11,679,652,1331,774,718,1492
2018-11-17,605,576,1181,731,673,1404
2018-11-18,411,439,850,434,487,921
2018-11-24,448,422,870,518,527,1045
2018-11-25,655,645,1300,758,727,1485
2018-12-01,561,517,1078,663,598,1261
2018-12-02,632,589,1221,671,640,1311
2018-12-08,494,500,994,568,525,1093
2018-12-09,516,483,999,564,549,1113
2018-12-15,644,594,1238,719,637,1356
2018-12-16,589,571,1160,727,673,1400
2018-12-22,403,448,851,550,576,1126
2018-12-23,372,367,739,514,456,970
2018-12-29,317,331,648,409,425,834
2018-12-30,298,277,575,330,308,638
2019-01-05,555,510,1065,629,605,1234
2019-01-06,462,390,852,557,512,1069
2019-01-12,400,389,789,430,443,873
2019-01-13,316,290,606,391,364,755
2019-01-19,128,133,261,131,163,294
2019-01-20,57,53,110,49,55,104
2019-01-26,285,248,533,245,301,546
2019-01-27,87,94,181,55,71,126
2019-02-02,268,232,500,7,102,109
2019-02-03,239,244,483,5,108,113
2019-02-09,285,280,565,29,254,283
